customer_id,age,gender,marital_status,education_level,dependent_count,occupation_type,annual_income,income_band,income_category,city_tier,region,customer_segment,tenure_months,onboarding_channel,relationship_type,number_of_products,primary_account_type,card_category,customer_lifetime_value,loyalty_program_member,referral_count,last_contacted_days,relationship_manager_assigned,avg_monthly_balance,current_balance,balance_decline_percentage,monthly_transaction_count,monthly_transaction_value,cash_withdrawal_count,upi_transaction_count,debit_card_transaction_count,net_banking_transaction_count,account_inactive_days,total_trans_amt,total_trans_count,total_amt_chng_q4_q1,total_ct_chng_q4_q1,avg_open_to_buy,total_revolving_bal,savings_account_flag,current_account_flag,credit_card_flag,personal_loan_flag,home_loan_flag,auto_loan_flag,fixed_deposit_flag,investment_product_flag,insurance_product_flag,demat_account_flag,credit_card_limit,credit_card_spend,credit_utilization_ratio,minimum_due_paid_flag,late_credit_card_payment_count,loan_outstanding_amount,emi_amount,emi_payment_delay_count,loan_default_risk_score,prepayment_flag,mobile_app_login_count,website_login_count,digital_transaction_ratio,last_login_days,failed_login_count,app_rating_given,paperless_statement_enabled,digital_service_usage_score,mobile_banking_active_flag,email_open_rate,total_complaints,complaint_resolution_time,unresolved_complaint_count,branch_visit_count,call_center_interaction_count,relationship_manager_interaction_count,service_request_count,escalation_count,satisfaction_score,nps_score,campaign_received_count,campaign_response_count,cross_sell_offer_count,upsell_offer_count,retention_offer_received,retention_offer_accepted,last_campaign_response_days,discount_or_fee_waiver_received,competitor_bank_offer_awareness,customer_feedback_sentiment,monthly_income_estimate,credit_utilization_3m_avg,credit_utilization_6m_avg,avg_quarterly_balance,total_digital_logins,debt_to_income_ratio,digital_engagement_index,churn_probability,risk_level,retention_strategy
137045,56,Female,Married,Unknown,2,Salaried,21892,Low,Less than $40K,Tier 2,South,Affluent,48,DSA,Investment,2,Current,Blue,3004.21,1,1,234,1,5483.0,5896.0,7.99,5,596.17,1,10,10,5,120,7154,66,0.862,1.062,4746.0,0,1,1,1,0,0,0,0,1,0,1,4746,4983.0,0.0,0,4,0.0,0.0,0,42.1,0,20,6,0.962,9,1,,1,66.9,1,0.101,6,16,1,2,2,0,3,2,3.3,-24,2,0,4,2,0,0,124,0,High,Negative,1624,0.025,0.133,16128.0,26,0.0,69.0,0.9980386,HIGH,Cashback and rewards offer | Relationship manager intervention
133218,43,Male,Single,Graduate,4,Business Owner,125449,High,$120K +,Tier 2,South,HNI,36,Mobile App,Investment,1,Salary,Blue,13022.53,1,0,149,1,11919.0,16619.0,0.55,3,172.17,2,19,6,1,91,2066,46,0.631,0.769,33384.0,0,0,0,1,0,0,0,0,0,1,1,33384,1593.0,0.0,1,1,0.0,0.0,0,58.7,0,7,8,0.929,33,3,,1,52.8,1,0.548,1,4,0,1,4,0,4,0,3.1,-38,3,0,1,2,0,0,99,0,High,Negative,9277,0.0,0.044,36278.0,15,0.0,53.1,0.98963684,HIGH,Digital engagement campaign | Cashback and rewards offer
139505,45,Female,Married,College,3,Salaried,18000,Low,Less than $40K,Tier 3,East,Mass,36,Referral,Investment,4,Salary,Blue,2663.65,0,0,193,0,7877.0,8724.0,22.76,3,175.58,3,8,3,5,82,2107,40,0.456,0.333,36.0,2294,0,1,1,0,0,0,1,0,1,0,2330,869.0,0.985,0,3,0.0,0.0,0,25.2,0,14,10,0.842,73,2,3.4,1,59.7,1,0.221,4,6,2,2,4,0,2,1,1.4,-6,5,0,2,0,1,0,102,0,High,Negative,1203,0.953,0.802,23485.0,24,0.0,55.7,0.9994492,HIGH,Priority complaint resolution | Financial advisory support | Cashback and rewards offer | Relationship manager intervention
133629,46,Female,Single,Post-Graduate,2,Salaried,58852,Middle,Unknown,Tier 2,North,Mass,37,Online,Lending,1,Savings,Blue,6623.41,0,0,29,1,7110.0,9211.0,26.05,4,196.08,3,9,7,7,106,2353,53,0.651,0.828,2331.0,2517,1,0,1,1,0,0,0,0,0,0,4848,1556.0,0.519,0,3,24851.0,762.0,0,59.1,0,8,8,0.885,15,0,3.9,1,61.1,1,0.589,1,2,0,3,3,3,4,0,3.4,21,4,0,5,1,0,0,39,0,High,Negative,4864,0.474,0.575,20522.0,16,0.1554,49.3,0.99241275,HIGH,Digital engagement campaign | Financial advisory support | Cashback and rewards offer
137938,54,Female,Married,Unknown,1,Salaried,57634,Middle,$40K - $60K,Tier 2,North,Mass,49,Branch,Savings Only,4,Savings,Blue,8559.14,0,1,100,1,3038.0,3257.0,5.53,2,209.92,3,6,9,5,114,2519,35,0.722,0.522,2471.0,0,1,0,1,1,1,0,0,0,1,0,2471,1213.0,0.0,0,1,156308.0,7723.0,1,59.7,0,14,9,0.87,49,2,5.0,1,61.8,1,0.183,2,22,1,2,6,0,3,0,4.2,25,8,0,1,0,0,0,5,0,High,Negative,5859,0.031,0.06,9057.0,23,1.608,59.8,0.9990879,HIGH,Cashback and rewards offer
136217,51,Male,Married,High School,3,Business Owner,66309,Middle,$60K - $80K,Tier 3,South,Affluent,31,Referral,Premium,3,Current,Blue,6012.53,0,0,200,0,4268.0,3847.0,13.87,4,169.25,7,11,6,5,117,2031,53,0.47,1.038,8989.0,0,1,0,1,1,1,0,0,0,0,0,8989,1530.0,0.0,0,3,28116.0,1238.0,0,44.7,0,16,5,0.759,8,1,4.3,1,55.0,1,0.25,2,3,1,1,3,0,4,0,1.7,4,6,0,1,2,0,0,13,0,High,Negative,4938,0.0,0.136,13146.0,21,0.224,52.5,0.9934237,HIGH,Cashback and rewards offer
134181,48,Female,Single,Doctorate,2,Business Owner,38391,Lower-Middle,Unknown,Tier 2,North,HNI,36,Online,Lending,4,Salary,Blue,2295.9,0,0,42,1,1813.0,1704.0,10.69,2,134.83,3,11,5,6,73,1618,34,0.304,0.097,2277.0,860,1,0,1,0,0,0,0,1,1,0,3137,1148.0,0.274,1,3,0.0,0.0,0,39.7,0,14,9,0.88,21,0,3.3,1,61.3,1,0.438,2,12,0,2,3,2,4,0,3.7,59,5,0,0,0,1,0,292,0,High,Negative,2702,0.276,0.202,5280.0,23,0.0,56.0,0.99829704,HIGH,Cashback and rewards offer
134250,57,Male,Married,Uneducated,2,Salaried,70080,Middle,$60K - $80K,Tier 2,South,Mass,41,Online,Investment,3,Savings,Blue,15263.45,0,0,183,0,3530.0,4643.0,1.21,3,230.58,2,13,7,5,118,2767,43,0.714,0.387,1497.0,1030,1,1,1,0,0,0,0,0,0,0,2527,1207.0,0.408,1,4,0.0,0.0,0,67.8,0,8,6,0.926,5,1,,1,56.6,1,0.27,4,7,0,3,2,0,4,0,2.7,27,3,0,1,1,1,0,146,0,High,Negative,5854,0.428,0.402,10332.0,14,0.0,55.4,0.99730694,HIGH,Digital engagement campaign | Cashback and rewards offer
137889,31,Female,Single,Unknown,1,Self-Employed,50594,Middle,Less than $40K,Tier 2,Central,Affluent,20,Online,Savings Only,3,Current,Blue,2639.18,0,0,50,1,2725.0,3254.0,1.59,3,202.33,3,13,5,4,42,2428,43,0.561,0.593,1695.0,0,0,0,1,0,0,0,0,1,0,0,1695,1297.0,0.0,1,2,0.0,0.0,0,32.1,0,11,8,0.88,6,3,,0,45.1,1,0.156,2,18,0,3,2,3,5,0,2.0,3,3,0,2,2,0,0,82,1,High,Neutral,5931,0.0,0.159,8057.0,19,0.0,33.5,0.9953029,HIGH,Digital engagement campaign | Cashback and rewards offer
136988,51,Female,Divorced,Graduate,3,Retired,35300,Lower-Middle,Less than $40K,Tier 3,South,Mass,41,Mobile App,Investment,5,Savings,Blue,6109.66,1,0,134,0,7247.0,7757.0,-2.59,3,212.67,0,12,6,4,114,2552,42,0.705,0.556,804.0,691,1,1,1,1,0,1,1,0,1,0,1495,1053.0,0.462,0,1,52294.0,1503.0,1,34.4,0,10,6,1.0,18,3,,1,65.4,1,0.575,2,9,0,2,3,0,5,0,3.5,20,5,0,2,2,0,0,206,1,High,Neutral,3328,0.387,0.463,21932.0,16,0.5109,55.3,0.9949936,HIGH,Digital engagement campaign | Cashback and rewards offer
